IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
3.48,59.0,30,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
3.11,54.0,12,Tidak,Sedang,Laki-laki,Ya,Tidak Tepat Waktu
3.22,72.0,9,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.84,59.0,11,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.5,93.0,26,Ya,Tinggi,Perempuan,Tidak,Tepat Waktu
2.71,51.0,8,Ya,Tinggi,Perempuan,Ya,Tidak Tepat Waktu
3.52,62.0,4,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.03,89.0,4,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.23,51.0,19,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.09,69.0,6,Ya,Tinggi,Laki-laki,Ya,Tidak Tepat Waktu
2.08,50.0,13,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.71,86.0,13,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.41,58.0,20,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.95,66.0,7,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.2,58.0,3,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.98,60.0,13,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.95,64.0,20,Ya,Sedang,Laki-laki,Ya,Tidak Tepat Waktu
2.35,73.0,6,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.87,87.0,13,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.8,84.0,28,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.23,79.0,28,Tidak,Sedang,Perempuan,Ya,Tepat Waktu
3.27,80.0,18,Tidak,Sedang,Laki-laki,Ya,Tidak Tepat Waktu
2.09,,30,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.75,54.0,18,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.25,93.0,11,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
3.01,99.0,26,Tidak,Sedang,Laki-laki,Ya,Tepat Waktu
3.71,63.0,24,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.32,,18,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.33,58.0,16,Ya,Tinggi,Perempuan,Ya,Tidak Tepat Waktu
2.14,83.0,13,Ya,Rendah,Perempuan,Ya,Tidak Tepat Waktu
3.28,61.0,17,Tidak,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
2.05,84.0,25,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.17,84.0,20,Tidak,Rendah,Laki-laki,Tidak,Tepat Waktu
3.88,50.0,9,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.15,89.0,22,Ya,Sedang,Laki-laki,Tidak,Tepat Waktu
2.78,71.0,18,Tidak,Sedang,Perempuan,Ya,Tidak Tepat Waktu
,78.0,24,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
2.92,57.0,6,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.09,60.0,23,Ya,Sedang,Perempuan,Tidak,Tepat Waktu
3.88,90.0,17,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
2.77,86.0,7,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.92,63.0,9,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.81,79.0,26,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
2.39,84.0,19,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.14,70.0,26,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.2,86.0,13,Tidak,Sedang,Laki-laki,Ya,Tidak Tepat Waktu
,54.0,16,Tidak,Sedang,Laki-laki,Ya,Tidak Tepat Waktu
2.19,68.0,28,Ya,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.37,63.0,27,Tidak,Tinggi,Laki-laki,Tidak,Tepat Waktu
,75.0,10,Tidak,Sedang,Laki-laki,Ya,Tidak Tepat Waktu
2.64,53.0,14,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.69,74.0,27,Ya,Sedang,Perempuan,Ya,Tepat Waktu
,94.0,16,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.63,91.0,11,Ya,Rendah,Perempuan,Tidak,Tepat Waktu
2.56,74.0,17,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.24,67.0,8,Ya,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.39,89.0,18,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
3.26,,24,Tidak,Sedang,Perempuan,Ya,Tidak Tepat Waktu
3.75,88.0,27,Ya,Sedang,Perempuan,Tidak,Tepat Waktu
3.47,89.0,22,Tidak,Rendah,Perempuan,Tidak,Tepat Waktu
3.61,63.0,23,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
2.56,81.0,27,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.35,100.0,8,Tidak,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
3.5,87.0,15,Tidak,Rendah,Laki-laki,Tidak,Tepat Waktu
3.61,82.0,16,Tidak,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.98,72.0,22,Tidak,Rendah,Laki-laki,Tidak,Tepat Waktu
2.83,64.0,8,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.74,82.0,10,Ya,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.55,74.0,20,Tidak,Tinggi,Perempuan,Tidak,Tepat Waktu
,66.0,17,Tidak,Rendah,Perempuan,Ya,Tidak Tepat Waktu
3.86,82.0,9,Tidak,Sedang,Perempuan,Ya,Tepat Waktu
3.72,96.0,19,Tidak,Tinggi,Laki-laki,Ya,Tepat Waktu
2.86,51.0,28,Tidak,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.5,63.0,24,Tidak,Rendah,Laki-laki,Tidak,Tepat Waktu
3.51,89.0,30,Ya,Tinggi,Laki-laki,Tidak,Tepat Waktu
2.21,89.0,19,Tidak,Sedang,Perempuan,Ya,Tidak Tepat Waktu
3.81,100.0,21,Ya,Sedang,Perempuan,Tidak,Tepat Waktu
3.01,88.0,8,Ya,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.65,100.0,4,Ya,Rendah,Laki-laki,Tidak,Tepat Waktu
2.64,55.0,19,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.79,55.0,28,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
,52.0,11,Ya,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.02,56.0,8,Tidak,Sedang,Perempuan,Ya,Tidak Tepat Waktu
3.81,100.0,18,Ya,Sedang,Laki-laki,Tidak,Tepat Waktu
2.18,57.0,15,Ya,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
2.64,91.0,25,Ya,Sedang,Laki-laki,Ya,Tepat Waktu
3.9,64.0,4,Ya,Rendah,Laki-laki,Ya,Tepat Waktu
3.9,96.0,13,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
3.15,78.0,29,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
3.26,82.0,14,Tidak,Tinggi,Perempuan,Tidak,Tepat Waktu
2.9,79.0,3,Tidak,Rendah,Perempuan,Ya,Tidak Tepat Waktu
2.59,88.0,4,Ya,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.66,76.0,6,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.35,85.0,12,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.5,78.0,9,Tidak,Rendah,Perempuan,Tidak,Tepat Waktu
3.58,87.0,27,Ya,Tinggi,Perempuan,Tidak,Tepat Waktu
3.58,,24,Ya,Rendah,Laki-laki,Tidak,Tepat Waktu
2.18,86.0,24,Ya,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.99,76.0,13,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.12,82.0,8,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.1,53.0,16,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.88,71.0,25,Tidak,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.78,51.0,18,Tidak,Sedang,Laki-laki,Ya,Tidak Tepat Waktu
2.7,59.0,5,Tidak,Rendah,Perempuan,Ya,Tidak Tepat Waktu
2.23,54.0,30,Tidak,Rendah,Perempuan,Ya,Tidak Tepat Waktu
2.29,59.0,23,Tidak,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.52,82.0,26,Ya,Rendah,Perempuan,Tidak,Tepat Waktu
3.24,87.0,14,Ya,Sedang,Perempuan,Ya,Tepat Waktu
2.2,62.0,19,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.17,80.0,2,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.4,96.0,17,Tidak,Tinggi,Laki-laki,Ya,Tepat Waktu
2.15,85.0,14,Ya,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.64,94.0,11,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
3.41,73.0,13,Ya,Tinggi,Laki-laki,Ya,Tepat Waktu
2.16,64.0,3,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
2.17,78.0,24,Ya,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.97,57.0,4,Ya,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.75,54.0,11,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.74,78.0,3,Ya,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.63,96.0,28,Ya,Sedang,Perempuan,Ya,Tepat Waktu
3.89,53.0,24,Ya,Tinggi,Laki-laki,Ya,Tidak Tepat Waktu
3.97,61.0,14,Tidak,Rendah,Laki-laki,Tidak,Tepat Waktu
3.51,94.0,14,Tidak,Sedang,Perempuan,Ya,Tepat Waktu
2.75,51.0,19,Ya,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
2.17,76.0,4,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
,80.0,28,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
3.12,100.0,8,Ya,Tinggi,Laki-laki,Tidak,Tepat Waktu
2.85,100.0,15,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
3.81,85.0,21,Ya,Sedang,Laki-laki,Ya,Tepat Waktu
2.22,85.0,30,Ya,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.99,75.0,18,Tidak,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
2.02,92.0,30,Ya,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.94,76.0,22,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.11,54.0,13,Tidak,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
2.24,69.0,26,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.24,60.0,17,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.3,59.0,25,Ya,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.49,89.0,13,Tidak,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.17,87.0,16,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
3.92,55.0,26,Tidak,Rendah,Laki-laki,Ya,Tepat Waktu
2.75,57.0,11,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
2.57,72.0,26,Ya,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.74,96.0,8,Tidak,Rendah,Laki-laki,Ya,Tepat Waktu
2.45,75.0,21,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.93,95.0,6,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
2.02,92.0,2,Tidak,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.94,61.0,18,Tidak,Tinggi,Perempuan,Tidak,Tepat Waktu
2.09,75.0,4,Ya,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.78,62.0,14,Ya,Sedang,Laki-laki,Tidak,Tepat Waktu
3.06,89.0,15,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
3.99,67.0,25,Tidak,Sedang,Perempuan,Ya,Tepat Waktu
2.15,74.0,19,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.11,82.0,5,Tidak,Sedang,Laki-laki,Tidak,Tidak Tepat Waktu
3.94,96.0,19,Ya,Rendah,Laki-laki,Ya,Tepat Waktu
3.05,89.0,6,Ya,Sedang,Laki-laki,Tidak,Tepat Waktu
3.26,92.0,26,Tidak,Tinggi,Perempuan,Tidak,Tepat Waktu
3.39,61.0,17,Ya,Sedang,Laki-laki,Ya,Tepat Waktu
2.91,93.0,2,Tidak,Rendah,Perempuan,Tidak,Tepat Waktu
3.26,85.0,22,Tidak,Sedang,Laki-laki,Tidak,Tepat Waktu
3.17,97.0,15,Tidak,Rendah,Laki-laki,Tidak,Tepat Waktu
3.8,53.0,16,Ya,Rendah,Perempuan,Ya,Tepat Waktu
2.09,54.0,10,Tidak,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
2.56,86.0,16,Tidak,Sedang,Perempuan,Tidak,Tidak Tepat Waktu
3.9,57.0,18,Tidak,Sedang,Perempuan,Tidak,Tepat Waktu
3.78,91.0,26,Ya,Sedang,Laki-laki,Ya,Tepat Waktu
2.91,98.0,25,Tidak,Rendah,Perempuan,Tidak,Tepat Waktu
3.24,77.0,5,Tidak,Tinggi,Laki-laki,Ya,Tepat Waktu
2.55,80.0,13,Ya,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
2.38,58.0,28,Ya,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
2.93,100.0,27,Ya,Rendah,Laki-laki,Tidak,Tepat Waktu
2.71,78.0,6,Tidak,Sedang,Perempuan,Ya,Tidak Tepat Waktu
3.17,63.0,30,Tidak,Tinggi,Laki-laki,Tidak,Tepat Waktu
2.16,89.0,6,Tidak,Sedang,Laki-laki,Ya,Tidak Tepat Waktu
3.95,90.0,12,Ya,Rendah,Laki-laki,Tidak,Tepat Waktu
3.97,71.0,29,Ya,Rendah,Laki-laki,Tidak,Tepat Waktu
